,,,,,,,,,,
내용,비행기 했어? / 자유여행 가이드북줄게,여행지에서 이번에 이런행사 축제있어,크루즈 구비 물품 / 여행준비물,KTX 예매 가능해 집에돌아가는 기차편 확인해봐,크루즈 여행 꿀팁~! (MSC 꺼 기준으로 보냄),오리엔 테이션 공지 및 카톡초대( + 한가위),꼭 챙겨야될 거 확인시키기,여행 전날(여권꼭챙겨),여행 당일,여행 이후(숙박권 드린다는분 챙겨드리기) / 현금영수증 필요한분 확인
"10월 20일 출발
1항차
 도쿄-부산
MSC 벨리시마호
지속터치
안내문자",8월 21일 (목) 기준 (D-60),9월 4일 (목) 기준 (D-46),9월 12일 (금) 기준 (D-38),9월 22일 (월) 기준 (D-28),9월 29일 (월) 기준 (D-21),10월 06일 (월) 기준 (D-14),10월 11일 (토) 기준 (D-9),10월 19일 (일) 기준 (D-1),10월 20일 (월) 기준 (D-day),10월 24일 (금) (여행이후 +2일)
,"안녕하세요 OO님

크루즈 여행 출발이 어느덧 60일 남았습니다.😍

이번 크루즈 여행 전 도쿄에서의 자유 여행을 위해 항공편은 미리 예매해 두셨을까요?? ✈️

아직 하지 않으셨다면 늦기전에 하시는것을 권해 드리며

오늘은 도쿄에서의 즐거운 자유여행 되시길 바라면서 도쿄 자유여행 가이드북을 전해 드립니다!🎉

좋은하루되세요~!^^


MSC 벨리시마호 🚢
크루즈 여행 (D-60)","안녕하세요 OO님

잘지내고있으세요~!?

오늘은 다가올 10월 도쿄에서의 자유여행을 조금 더 풍성하게 해줄 수 있는 지역 축제 및 행사에 대해 공유해 드리려 합니다.🎊

▶ 센트럴 도쿄 투어리즘 공식 사이트
https://centraltokyo-tourism.com/ko-kr/topics/events

미리 알아보는 축제나 행사 일정으로
여행을 계획하실 때 도움이 되셨으면 좋겠습니다!

감사합니다.😊


MSC 벨리시마호 🚢
크루즈 여행 (D-46)","안녕하세요 OO님

어느덧 크루즈 여행이 38일정도 남았습니다.😆

오늘은 크루즈를 알차게 즐기기 위한 준비물과

불필요한 짐을 줄여 줄수있는 객실 내 이미 구비된 물품들에 대해 공유해 드리려합니다.

필요한 물건은 미리미리 쇼핑을 통해 준비할수있도록

택배 기간까지 고려하여 먼저 연락드리는 ""크루즈닷"" 만의 센스! 😉


MSC 벨리시마호 🚢
크루즈 여행 (D-38)","안녕하세요 OO님

오늘은 일찍 찾아왔습니다.😋

바로 크루즈 여행 이후 (SRT, KTX) 집으로가는 기차편 예매가 가능한 날이기 때문인데요

서울·경기 지역은 표가 빠르게 마감이 되기 때문에 7주일 내로 예약하기를 권해 드리면서 

기차표 예매하실수있는 링크 공유해드립니다. 🚝

▶ KTX 코레일 공식 홈페이지 사이트
https://www.korail.com/intro

▶ SRT 공식 홈페이지 사이트
https://etk.srail.kr/main.do

감사합니다.💝


MSC 벨리시마호 🚢
크루즈 여행 (D-28)","안녕하세요 OO님^^

이제 크루즈 여행이 3주 남았습니다~!💕

오늘은 이번에 타게 되실
MSC 벨리시마호를 200% 즐길 수 있는

크루즈 여행 꿀팁을 공유해 드리며!

참고하셔서 알차고 행복한 크루즈 여행
되셨으면 좋겠습니다.😄

감사합니다!


MSC 벨리시마호 🚢
크루즈 여행 (D-21)","안녕하세요 OO님

즐거운 명절 보내고 있으신가요??
벌써 크루즈여행 2주 전 입니다! 🎉

크루즈 여행 전
이번 여행에 대한 오리엔테이션 및

도움 받을 수 있는 카톡방 초대가
조만간 있을 예정이오니

미리 공지 드립니다. 

연휴 기간동안 가족들과
맛있는것도 많이 드시고🌙

풍성한 한가위 되세요~! ^^

MSC 벨리시마호 🚢
크루즈 여행 (D-14)","안녕하세요 OO님^^

설레이는 마음으로
여행 준비는 잘 하고 계시나요?

다음 주에 크루즈 여행이 다가 오고 있습니다
꼭 반드시 챙겨야될 것 알려드릴게요.

1. 여권
2. 해외 결제 가능한 신용카드 (해외 차단 유무 확인하기)
3. 텀블러

📍 주말에 이 3가지는 반드시 체크하고 준비하고 챙겨주세요!


MSC 벨리시마호 🚢
크루즈 여행 (D-9)","안녕하세요 OO님^^

혹시 도쿄여행은 재미있게
즐기고 있으세요??ㅎㅎ

드디어 내일!! 기다리던 크루즈여행
시작입니다~!😆

내일은 크루즈여행 시작이니만큼
즐거운 도쿄 여행 이후

1시 까지 크루즈터미널에서
뵙겠습니다.

-주소- (도쿄 국제 크루즈 터미널)
 일본 〒135-0064 Tokyo, Koto City, Aomi, 2 Chome, 地先 東京国際クルーズターミナル

▶ 구글지도 확인하기
https://maps.app.goo.gl/WR7RvtaukVoQmfex7

⭐여권은 필수 입니다!⭐


MSC 벨리시마호 🚢
크루즈 여행 (D-1)","안녕하세요 OO님^^

드디어! 기다려왔던 
크루즈여행 출발하는 날입니다.😆🎉

크루즈는 예외없이 출발하기 때문에
늦지않게 크루즈 터미널로 와 주실바라며

이번 여행에 있어서

날씨도 좋고 좋은사람들과 
행복한여행 되셨으면 좋겠습니다. 😊

마지막으로 저희 ""크루즈닷""을
선택해 주셔서 다시 한번 감사합니다!💖


MSC 벨리시마호 🚢
크루즈 여행 (D-day)","여행은 어떠셨는지??
회사의 성장과 더나은 모습으로 찾이뵐수있게
소감이나 솔직한 피드백 같이 부탁드린다.

개인이 문자 마무리하여 고객에게 보내기"
첨부 사항,도쿄 자유여행 가이드북,이미지도 같이 전달,구비물품 및 준비물 이미지,"KTX,SRT 예매 링크/ 부산 국제 크루즈 터미널 위치",크루즈여행 꿀팁(캔바수정중),,,도쿄 국제 크루즈 터미널 이미지 자료 + MSC 벨리시마호 자료, ,
첨부 사항 자료 링크,E:\Business (노트북 바탕화면)\2. 크루즈\1. 고객안내 자료(공용)\4. 자유여행 가이드북\일본) 도쿄,"E:\Business (노트북 바탕화면)\2. 크루즈\1. 고객안내 자료(공용)\8. 여행 지역,시기별 축제 행사\25년 10월 도쿄",E:\Business (노트북 바탕화면)\2. 크루즈\1. 고객안내 자료(공용)\5. 크루즈여행 준비물,E:\Business (노트북 바탕화면)\2. 크루즈\1. 고객안내 자료(공용)\7. 크루즈 터미널 위치,E:\Business (노트북 바탕화면)\2. 크루즈\1. 고객안내 자료(공용)\1. 크루즈 배정보\3. MSC 벨리시마호 배정보\MSC 벨리시마호 여행 꿀팁, ,,E:\Business (노트북 바탕화면)\2. 크루즈\1. 고객안내 자료(공용)\7. 크루즈 터미널 위치, ,
발송시간,16:00시,16:00시,16:00시,18:00시,16:00시,16:00시,16:00시,18:00시,10:00시,18:00 이후
,,2025 도쿄 축제 참고 링크,,"↓ 이내용도 같이 보냄

※ 부산 국제 크루즈 터미널과
부산역 사이의 거리까지 고려했을때

10/22일 수요일
21시 이후 출발하는 열차편 예매를
추천해 드립니다~^^",,본사 정보 공유 대기중,,,,
,,https://centraltokyo-tourism.com/ko-kr/topics/events,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
